"Table S1: Dwarf bunt incidence (%), BLUP and BLUE data over three years in UI Silver x Shaan89150 DH population.  ",,,,,,
Line  Name,DB17,DB18,DB23,Mean,DBBLUP,DBBLUE
A12170W-98,1.82,4.25,22.40,9.49,9.56,9.19
A12170W-99,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-100,2.30,1.59,3.39,2.43,3.09,1.80
A12170W-101,1.35,2.59,3.86,2.60,3.29,2.02
A12170W-102,0.87,1.33,2.79,1.67,2.39,0.99
A12170W-103,0.87,2.19,22.58,8.55,8.62,8.12
A12170W-104,21.79,25.35,68.55,38.56,36.71,40.27
A12170W-105,0.87,1.96,9.72,4.18,4.68,3.61
A12170W-106,0.87,1.16,22.12,8.05,8.13,7.56
A12170W-107,1.82,1.16,23.59,8.86,8.86,8.40
A12170W-108,0.40,1.16,1.06,0.88,1.67,0.17
A12170W-109,1.82,1.68,13.22,5.57,5.93,5.04
A12170W-110,0.40,1.16,1.76,1.11,1.88,0.41
A12170W-111,0.40,1.16,2.50,1.35,2.10,0.66
A12170W-112,0.40,1.36,1.74,1.16,1.94,0.47
A12170W-113,0.40,1.16,1.51,1.02,1.80,0.32
A12170W-114,36.05,42.39,79.11,52.52,50.06,55.55
A12170W-115,0.87,1.68,1.35,1.30,2.08,0.63
A12170W-116,1.82,2.87,16.57,7.09,7.34,6.66
A12170W-117,1.82,3.38,43.30,16.17,15.53,16.02
A12170W-118,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-119,0.87,1.76,14.71,5.78,6.11,5.25
A12170W-120,0.87,1.33,5.41,2.54,3.18,1.89
A12170W-121,12.28,7.36,32.38,17.34,16.82,17.50
A12170W-122,12.28,4.44,12.50,9.74,9.86,9.53
A12170W-123,0.87,1.45,3.40,1.91,2.61,1.25
A12170W-124,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-125,0.40,1.33,0.58,0.77,1.58,0.07
A12170W-126,14.66,12.26,59.13,28.68,27.24,29.43
A12170W-127,28.92,39.57,41.83,36.78,35.74,39.16
A12170W-128,6.58,9.82,15.86,10.75,10.95,10.79
A12170W-129,0.40,1.31,0.58,0.76,1.57,0.06
A12170W-130,43.19,18.62,54.09,38.63,36.64,40.18
A12170W-131,21.79,3.90,31.04,18.91,18.14,19.02
A12170W-132,0.40,1.16,2.69,1.42,2.16,0.72
A12170W-133,33.68,25.49,51.57,36.91,35.31,38.67
A12170W-134,0.40,1.16,1.52,1.03,1.81,0.32
A12170W-135,0.40,1.16,0.58,0.71,1.52,0.00
,,,,,,
,,,,,,
"Note: (DB17= 2017 Dwarf bunt incidence (DBI), DB18=2018 DBI, DB23= 2023 DBI, Mean= Average of three years DBI, DBBLUP= Best linear unbiased predictors across year, DBBLUE=Best linear unbiased estimate calculated across year)",,,,,,
